timestamp,city,temperature,description
timestamp,city,temperature,description
timestamp,city,temperature,description
timestamp,city,temperature,description
2026-03-16T12:49:13.127Z,AREQUIPA,15.04,clear sky
2026-03-16T15:30:05.487Z,AREQUIPA,19.04,few clouds
2026-03-16T15:30:59.494Z,AREQUIPA,19.04,few clouds
2026-03-16T15:34:53.062Z,AREQUIPA,19.04,few clouds
